PATH,ROW,geometry,STATE,STATE_GEOCODE,Avg_CC_Jan,Avg_CC_Feb,Avg_CC_Mar,Avg_CC_Apr,Avg_CC_May,Avg_CC_Jun,Avg_CC_Jul,Avg_CC_Aug,Avg_CC_Sep,Avg_CC_Oct,Avg_CC_Nov,Avg_CC_Dec,CC_Level_Jan,CC_Level_Feb,CC_Level_Mar,CC_Level_Apr,CC_Level_May,CC_Level_Jun,CC_Level_Jul,CC_Level_Aug,CC_Level_Sep,CC_Level_Oct,CC_Level_Nov,CC_Level_Dec,Avg_CC_Summer,CC_Level_Summer,Avg_CC_Autumn,CC_Level_Autumn,Avg_CC_Winter,CC_Level_Winter,Avg_CC_Spring,CC_Level_Spring,ProbCC_30_Jan,ProbCC_30_Feb,ProbCC_30_Mar,ProbCC_30_Apr,ProbCC_30_May,ProbCC_30_Jun,ProbCC_30_Jul,ProbCC_30_Aug,ProbCC_30_Sep,ProbCC_30_Oct,ProbCC_30_Nov,ProbCC_30_Dec
1,67,"POLYGON ((-67.76077272731082 -10.73954767675962, -67.44859653637288 -9.317040503107009, -67.43210000000001 -9.24187, -65.76574325020484 -9.483913717767594, -65.7657 -9.483919999999999, -65.77729463640237 -9.538039450759641, -65.78181686878519 -9.559147549735073, -66.0916 -11.0051, -66.09169022242618 -11.00508689858921, -67.7657 -10.762, -67.76077272731082 -10.73954767675962))",AC,12,70.92,72.7,71.16,58.64,59.23,30.01,21.73,18.01,25.0,54.32,51.19,58.62,7,7,7,5,5,3,2,1,2,5,5,5,67.41,6,62.57,6,23.56,2,42.91,4,18.18,18.18,0.0,23.08,30.77,71.43,76.92,75.0,63.64,20.0,30.0,18.18
2,60,"POLYGON ((-65.17706476990446 0.5661694089792513, -65.46803223992832 -0.8051353165776731, -65.48399999999999 -0.88039, -67.12909999999999 -0.64141, -67.12796771640416 -0.6360736445458282, -66.8062 0.88039, -66.80615482278095 0.8803834372063641, -65.1611 0.64141, -65.17706476990446 0.5661694089792513))",AM,13,61.55,57.1,82.59,74.56,60.52,66.84,59.22,61.01,50.72,60.86,65.64,71.79,6,5,8,7,6,6,5,6,5,6,6,7,64.06,6,72.27,7,62.43,6,58.65,5,16.67,22.22,9.09,16.67,25.0,15.38,30.77,18.18,9.09,18.18,0.0,16.67
2,61,"POLYGON ((-65.790544287841 -2.326973566667828, -67.43665683082641 -2.087856270832513, -67.4367 -2.08785, -67.12796771640416 -0.6360736445458282, -67.1131 -0.56616, -65.46803223992832 -0.8051353165776731, -65.468 -0.80514, -65.79049999999999 -2.32698, -65.790544287841 -2.326973566667828))",AM,13,58.15,50.66,79.95,77.21,68.72,61.38,56.81,44.94,43.17,52.08,74.55,65.21,5,5,7,7,6,6,5,4,4,5,7,6,58.93,5,75.29,7,54.89,5,55.44,5,16.67,25.0,8.33,0.0,16.67,15.38,23.08,36.36,36.36,27.27,0.0,25.0
2,62,"POLYGON ((-65.790544287841 -2.326973566667828, -66.08105683711796 -3.698311743599048, -66.09699999999999 -3.77357, -67.7452 -3.53415, -67.74295047308694 -3.523605359920408, -67.43665683082641 -2.087856270832513, -67.42059999999999 -2.01259, -65.77460000000001 -2.25171, -65.790544287841 -2.326973566667828))",AM,13,66.52,52.37,79.35,69.44,75.97,65.8,45.35,30.14,38.64,55.61,63.37,81.06,6,5,7,6,7,6,4,3,3,5,6,8,67.95,6,74.95,7,48.01,4,52.2,5,8.33,22.22,8.33,8.33,7.69,15.38,38.46,54.55,63.64,27.27,10.0,0.0
2,63,"POLYGON ((-66.40356548233339 -5.220120487553968, -68.0548 -4.98025, -68.03869644280883 -4.90503051674175, -67.74295047308694 -3.523605359920408, -67.7291 -3.45891, -66.08105683711796 -3.698311743599048, -66.081 -3.69832, -66.40349999999999 -5.22013, -66.40356548233339 -5.220120487553968))",AM,13,64.69,55.51,79.28,71.51,72.85,44.2,48.17,18.21,40.91,62.98,53.45,73.85,6,5,7,7,7,4,4,1,4,6,5,7,65.52,6,74.37,7,37.87,3,52.42,5,16.67,22.22,9.09,16.67,7.69,23.08,30.77,81.82,36.36,27.27,20.0,0.0
2,64,"POLYGON ((-66.71059821718762 -6.666595733173289, -68.3659 -6.42615, -68.35338186439829 -6.367954442461906, -68.03870000000001 -4.90503, -68.03869644280883 -4.90503051674175, -66.38760000000001 -5.14488, -66.40356548233339 -5.220120487553968, -66.7105 -6.66661, -66.71059821718762 -6.666595733173289))",AM,13,69.77,59.59,72.73,72.55,68.98,32.04,35.7,8.07,39.54,54.11,66.21,68.24,6,5,7,7,6,3,3,0,3,5,6,6,66.44,6,71.31,7,26.2,2,52.92,5,25.0,11.11,18.18,8.33,7.69,53.85,46.15,90.91,36.36,41.67,20.0,25.0
2,65,"POLYGON ((-67.01825995297074 -8.112971291186557, -68.6788 -7.87176, -68.66680955575569 -7.81635037552229, -68.35338186439829 -6.367954442461906, -68.3497 -6.35094, -66.69459999999999 -6.59137, -66.71059821718762 -6.666595733173289, -67.01819999999999 -8.11298, -67.01825995297074 -8.112971291186557))",AM,13,71.66,78.13,87.04,61.65,67.84,34.61,24.64,12.64,39.06,54.47,71.27,68.88,7,7,8,6,6,3,2,1,3,5,7,6,72.41,7,71.64,7,24.57,2,54.42,5,16.67,11.11,0.0,25.0,7.69,53.85,69.23,81.82,45.45,25.0,20.0,16.67
2,66,"POLYGON ((-67.31084325020483 -9.483913717767596, -67.32239463639806 -9.538039450739506, -67.32689999999999 -9.559150000000001, -67.32691686875465 -9.559147549592495, -68.9936 -9.31704, -68.98121001152693 -9.260142598388603, -68.66680955575569 -7.81635037552229, -68.66249999999999 -7.79656, -67.0022 -8.03772, -67.01825995297074 -8.112971291186557, -67.31084325020483 -9.483913717767596))",AM,13,78.98,79.11,78.96,56.96,61.38,35.02,23.07,11.18,34.23,53.27,61.39,71.8,7,7,7,5,6,3,2,1,3,5,6,7,76.32,7,65.17,6,23.73,2,49.26,4,0.0,0.0,9.09,25.0,21.43,53.85,76.92,81.82,54.55,27.27,20.0,25.0
2,67,"POLYGON ((-69.30587272731087 -10.73954767675982, -68.98121001152693 -9.260142598388603, -68.9772 -9.24187, -67.31084325020483 -9.483913717767596, -67.3108 -9.483919999999999, -67.32239463639806 -9.538039450739506, -67.32691686875465 -9.559147549592495, -67.6367 -11.0051, -67.63679022242617 -11.00508689858921, -69.3108 -10.762, -69.30587272731087 -10.73954767675982))",AC,12,76.89,79.29,76.65,53.22,55.54,27.97,17.63,9.01,36.9,56.38,46.75,49.41,7,7,7,5,5,2,1,0,3,5,4,4,67.62,6,61.47,6,18.7,1,46.67,4,9.09,0.0,0.0,33.33,28.57,69.23,76.92,81.82,63.64,36.36,40.0,25.0
3,59,"POLYGON ((-66.39854523838707 2.087856571410218, -66.3985 2.08785, -66.70723228359584 0.6360736445458395, -66.7221 0.56616, -68.36716776007168 0.8051353165776731, -68.3672 0.80514, -68.04470000000001 2.32698, -68.04465776737388 2.326973865212073, -66.39854523838707 2.087856571410218))",AM,13,60.12,59.54,58.52,75.39,65.84,68.29,71.2,74.01,44.7,56.69,58.49,64.03,6,5,5,7,6,6,7,7,4,5,5,6,61.25,6,66.8,6,71.09,7,53.35,5,16.67,40.0,25.0,0.0,7.69,15.38,7.14,8.33,36.36,30.0,16.67,0.0
3,60,"POLYGON ((-67.02904517721905 -0.8803834372063642, -68.6741 -0.64141, -68.65813523009554 -0.5661694089792511, -68.36716776007168 0.8051353165776731, -68.35120000000001 0.88039, -66.70610000000001 0.64141, -66.70723228359584 0.6360736445458395, -67.029 -0.88039, -67.02904517721905 -0.8803834372063642))",AM,13,65.46,74.54,63.86,74.07,68.98,68.51,69.5,65.89,44.7,56.08,65.77,63.84,6,7,6,7,6,6,6,6,4,5,6,6,67.67,6,69.1,6,68.06,6,55.81,5,16.67,20.0,16.67,0.0,7.69,7.69,7.14,8.33,36.36,30.0,8.33,9.09
3,61,"POLYGON ((-68.96578923130203 -2.013008399938093, -68.96570027036141 -2.012589942523171, -68.65819999999999 -0.56616, -68.65813523009554 -0.5661694089792511, -67.01309999999999 -0.80514, -67.02904517721905 -0.8803834372063642, -67.31964772460063 -2.251703067306134, -67.3356 -2.32698, -68.9817 -2.08785, -68.96578923130203 -2.013008399938093))",AM,13,78.07,81.37,73.22,73.36,58.09,63.18,67.11,54.65,48.6,56.66,62.61,62.5,7,8,7,7,5,6,6,5,4,5,6,6,73.88,7,68.09,6,61.97,6,56.16,5,8.33,10.0,16.67,15.38,23.08,23.08,7.14,33.33,54.55,27.27,16.67,27.27
3,62,"POLYGON ((-67.64204548222307 -3.773563393184172, -69.2902 -3.53415, -69.287093732268 -3.519584906840393, -68.96578923130203 -2.013008399938093, -68.96570027036141 -2.012589942523171, -67.31964772460063 -2.251703067306134, -67.31959999999999 -2.25171, -67.642 -3.77357, -67.64204548222307 -3.773563393184172))",AM,13,74.13,86.46,77.53,73.13,64.82,57.38,64.34,43.0,55.32,45.13,62.38,61.83,7,8,7,7,6,5,6,4,5,4,6,6,73.77,7,71.68,7,55.46,5,54.27,5,0.0,10.0,8.33,7.69,7.69,15.38,14.29,41.67,18.18,45.45,9.09,18.18
3,63,"POLYGON ((-67.64204548222307 -3.773563393184172, -67.93265153129117 -5.144872514214651, -67.9486 -5.22013, -69.59988556862973 -4.980252096407136, -69.59990000000001 -4.98025, -69.287093732268 -3.519584906840393, -69.2741 -3.45891, -67.62609999999999 -3.69832, -67.64204548222307 -3.773563393184172))",AM,13,65.32,86.36,82.1,72.13,74.78,58.6,59.74,26.83,45.52,58.64,73.07,65.31,6,8,8,7,7,5,5,2,4,5,7,6,71.89,7,76.15,7,49.23,4,59.08,5,9.09,0.0,0.0,0.0,14.29,15.38,7.14,66.67,27.27,18.18,9.09,9.09
3,64,"POLYGON ((-68.23962878912046 -6.591365818168056, -68.25284155435394 -6.653614304975281, -68.2556 -6.66661, -68.25560601034024 -6.666609126950336, -69.911 -6.42615, -69.89797601358183 -6.365621291718892, -69.59988556862973 -4.980252096407136, -69.58369999999999 -4.90503, -67.93265153129117 -5.144872514214651, -67.93259999999999 -5.14488, -68.23962878912046 -6.591365818168056))",AM,13,78.95,88.36,81.44,69.92,74.81,53.41,41.04,47.23,42.29,67.2,74.35,55.71,7,8,8,6,7,5,4,4,4,6,7,5,73.9,7,75.22,7,47.07,4,61.66,6,9.09,0.0,0.0,23.08,7.14,23.08,42.86,41.67,36.36,18.18,8.33,9.09
3,65,"POLYGON ((-70.21215200181409 -7.817916508811295, -69.89797601358183 -6.365621291718892, -69.8948 -6.35094, -68.23962878912046 -6.591365818168056, -68.2396 -6.59137, -68.25284155435394 -6.653614304975281, -68.25560601034024 -6.666609126950336, -68.5633 -8.11298, -68.56335515546098 -8.112971987593919, -70.2238 -7.87176, -70.21215200181409 -7.817916508811295))",AM,13,75.57,84.56,73.73,77.31,63.82,50.38,45.03,48.87,43.69,71.55,74.23,61.01,7,8,7,7,6,5,4,4,4,7,7,6,73.01,7,71.37,7,47.93,4,63.48,6,0.0,0.0,16.67,7.69,21.43,16.67,42.86,33.33,45.45,18.18,8.33,18.18
3,66,"POLYGON ((-68.85584804666536 -9.483913021066162, -68.86691139803945 -9.535767964630782, -68.8719 -9.559150000000001, -68.8719216648305 -9.559146853088485, -70.53869653637287 -9.317040503107011, -70.53870000000001 -9.31704, -70.21215200181409 -7.817916508811295, -70.2075 -7.79656, -68.54730000000001 -8.03772, -68.56335515546098 -8.112971987593919, -68.85584804666536 -9.483913021066162))",AC,12,89.07,85.91,82.73,72.06,62.27,38.76,41.45,40.8,23.7,57.65,70.36,55.79,8,8,8,7,6,3,4,4,2,5,7,5,76.74,7,71.83,7,40.35,4,50.57,5,0.0,0.0,8.33,7.69,21.43,41.67,46.15,54.55,63.64,18.18,27.27,27.27
3,67,"POLYGON ((-70.83929708335749 -10.68680042363374, -70.53869653637287 -9.317040503107011, -70.5222 -9.24187, -68.85584804666536 -9.483913021066162, -68.8558 -9.483919999999999, -68.86691139803945 -9.535767964630782, -68.8719216648305 -9.559146853088485, -69.16568155148828 -10.9298881548863, -69.1818 -11.0051, -70.8558 -10.762, -70.83929708335749 -10.68680042363374))",AC,12,75.69,65.53,79.42,69.9,55.6,30.89,28.7,39.49,18.8,52.6,58.68,61.49,7,6,7,6,5,3,2,3,1,5,5,6,67.88,6,67.7,6,32.73,3,43.07,4,16.67,20.0,0.0,7.69,28.57,66.67,61.54,54.55,72.73,30.0,36.36,18.18
4,59,"POLYGON ((-67.95960246063994 2.012600357443791, -68.25233228358948 0.6360736445757948, -68.2672 0.56616, -69.91226776007167 0.8051353165776711, -69.9123 0.80514, -69.5898 2.32698, -69.58975776737388 2.326973865212075, -67.9436 2.08785, -67.95960246063994 2.012600357443791))",AM,13,62.32,71.07,78.79,77.89,88.47,81.76,50.97,73.78,64.24,65.44,75.49,57.85,6,7,7,7,8,8,5,7,6,6,7,5,63.35,6,81.74,8,72.97,7,68.48,6,18.18,10.0,15.38,9.09,0.0,7.14,33.33,18.18,18.18,10.0,18.18,25.0
4,60,"POLYGON ((-68.25233228358948 0.6360736445757948, -68.55813223992833 -0.8051353165776713, -68.5741 -0.88039, -70.2192 -0.64141, -70.2180677164105 -0.6360736445757518, -69.91226776007167 0.8051353165776711, -69.8963 0.88039, -68.2512 0.64141, -68.25233228358948 0.6360736445757948))",AM,13,71.25,82.95,68.27,83.25,81.21,68.87,71.74,62.94,64.22,73.58,69.52,73.45,7,8,6,8,8,6,7,6,6,7,6,7,75.6,7,76.99,7,67.32,6,69.1,6,18.18,0.0,23.08,10.0,0.0,7.14,16.67,9.09,9.09,9.09,27.27,0.0
4,61,"POLYGON ((-68.88064428784101 -2.32697356666783, -70.52679999999999 -2.08785, -70.51079547650232 -2.012590657103921, -70.2180677164105 -0.6360736445757518, -70.2032 -0.56616, -68.55813223992833 -0.8051353165776713, -68.5581 -0.80514, -68.8806 -2.32698, -68.88064428784101 -2.32697356666783))",AM,13,67.66,89.7,73.65,75.29,72.53,67.16,73.23,56.1,50.34,68.81,77.94,68.43,6,8,7,7,7,6,7,5,5,6,7,6,74.62,7,73.74,7,64.41,6,65.79,6,27.27,0.0,15.38,0.0,0.0,7.14,16.67,27.27,18.18,0.0,9.09,16.67
4,62,"POLYGON ((-68.88064428784101 -2.32697356666783, -69.17115683711796 -3.698311743599047, -69.1871 -3.77357, -70.8353 -3.53415, -70.83219373227145 -3.519584906856498, -70.5108 -2.01259, -70.51079547650232 -2.012590657103921, -68.8647 -2.25171, -68.88064428784101 -2.32697356666783))",AM,13,68.38,81.29,81.7,78.93,73.62,70.19,65.71,35.07,46.64,67.73,84.3,70.23,6,8,8,7,7,7,6,3,4,6,8,7,72.96,7,78.03,7,56.86,5,65.72,6,18.18,10.0,8.33,0.0,16.67,14.29,16.67,54.55,36.36,8.33,10.0,16.67
4,63,"POLYGON ((-69.17115683711796 -3.698311743599047, -69.1711 -3.69832, -69.47774673376597 -5.144873211135746, -69.4937 -5.22013, -71.14498556862974 -4.980252096407133, -71.145 -4.98025, -70.83219373227145 -3.519584906856498, -70.8192 -3.45891, -69.17115683711796 -3.698311743599047))",AM,13,77.15,88.65,75.42,75.07,64.85,64.84,32.22,29.26,49.98,72.57,79.71,71.23,7,8,7,7,6,6,3,2,4,7,7,7,78.48,7,71.58,7,45.38,4,67.04,6,18.18,0.0,8.33,0.0,16.67,14.29,66.67,58.33,36.36,9.09,20.0,16.67
4,64,"POLYGON ((-69.78472878906844 -6.59136581792295, -69.79794155435393 -6.653614304975174, -69.80070000000001 -6.66661, -69.80070601034025 -6.666609126950336, -71.45607593114053 -6.426153496193035, -71.45610000000001 -6.42615, -71.14498556862974 -4.980252096407133, -71.1288 -4.90503, -69.47774673376597 -5.144873211135746, -69.4777 -5.14488, -69.78472878906844 -6.59136581792295))",AM,13,77.16,90.2,77.18,69.79,49.73,60.21,10.36,29.43,47.77,72.16,87.78,79.44,7,9,7,6,4,6,1,2,4,7,8,7,81.94,8,65.79,6,39.32,3,68.04,6,0.0,0.0,8.33,0.0,36.36,7.14,83.33,58.33,36.36,9.09,0.0,8.33
4,65,"POLYGON ((-71.7569095557558 -7.816350375522721, -71.45607593114053 -6.426153496193035, -71.43980000000001 -6.35094, -69.78472878906844 -6.59136581792295, -69.7847 -6.59137, -69.79794155435393 -6.653614304975174, -69.80070601034025 -6.666609126950336, -70.09238686509856 -8.037707382769879, -70.1084 -8.11298, -71.7689 -7.87176, -71.7569095557558 -7.816350375522721))",AM,13,85.9,80.81,76.51,65.32,48.67,50.01,8.32,20.72,35.54,59.27,94.08,69.24,8,8,7,6,4,5,0,2,3,5,9,6,78.58,7,63.84,6,30.52,3,60.9,6,9.09,0.0,8.33,0.0,45.45,28.57,85.71,75.0,54.55,25.0,0.0,9.09
4,66,"POLYGON ((-70.40094325020483 -9.483913717767594, -70.41249463640237 -9.538039450759641, -70.417 -9.559150000000001, -70.41701686875464 -9.559147549592497, -72.08369999999999 -9.31704, -72.07131001152521 -9.260142598380778, -71.7569095557558 -7.816350375522721, -71.7526 -7.79656, -70.09238686509856 -8.037707382769879, -70.09229999999999 -8.03772, -70.40094325020483 -9.483913717767594))",AC,12,90.47,77.17,73.38,63.99,47.52,44.6,3.84,18.24,35.83,49.18,75.62,69.76,9,7,7,6,4,4,0,1,3,4,7,6,79.5,7,62.25,6,24.49,2,52.03,5,0.0,10.0,0.0,20.0,45.45,42.86,100.0,75.0,45.45,25.0,0.0,10.0
4,67,"POLYGON ((-72.39597272731082 -10.73954767675959, -72.07131001152521 -9.260142598380778, -72.0673 -9.24187, -70.40094325020483 -9.483913717767594, -70.40089999999999 -9.483919999999999, -70.41249463640237 -9.538039450759641, -70.41701686875464 -9.559147549592497, -70.7268 -11.0051, -70.72689022242618 -11.00508689858921, -72.40089999999999 -10.762, -72.39597272731082 -10.73954767675959))",AC,12,84.59,89.85,78.64,64.63,58.04,46.08,3.44,23.85,28.22,52.45,79.97,88.94,8,8,7,6,5,4,0,2,2,5,7,8,87.79,8,66.9,6,26.83,2,52.71,5,0.0,0.0,0.0,20.0,33.33,42.86,100.0,66.67,63.64,33.33,10.0,0.0
5,63,"POLYGON ((-71.03876548233339 -5.220120487553969, -72.69 -4.98025, -72.67389644280883 -4.90503051674175, -72.37815047308699 -3.523605359920646, -72.3643 -3.45891, -70.7162 -3.69832, -70.73214548230548 -3.773563393573028, -71.03870000000001 -5.22013, -71.03876548233339 -5.220120487553969))",AM,13,83.0,72.0,81.94,70.29,61.29,71.38,48.09,39.32,47.15,49.74,60.52,75.97,8,7,8,7,6,7,4,3,4,4,6,7,77.29,7,70.85,7,53.52,5,52.31,5,8.33,10.0,0.0,0.0,16.67,15.38,21.43,45.45,33.33,27.27,18.18,0.0
5,64,"POLYGON ((-71.34579821718764 -6.666595733173287, -73.00109999999999 -6.42615, -72.98858186439828 -6.367954442461906, -72.6739 -4.90503, -72.67389644280883 -4.90503051674175, -71.0228 -5.14488, -71.03876548233339 -5.220120487553969, -71.34569999999999 -6.66661, -71.34579821718764 -6.666595733173287))",AM,13,73.17,72.67,72.08,75.61,59.71,58.01,43.81,34.86,40.79,43.42,68.84,75.59,7,7,7,7,5,5,4,3,4,4,6,7,73.88,7,68.96,6,46.08,4,50.71,5,16.67,10.0,0.0,0.0,25.0,30.77,28.57,45.45,33.33,54.55,18.18,8.33
5,65,"POLYGON ((-71.65345995297074 -8.112971291186559, -73.31399999999999 -7.87176, -73.30200955575347 -7.816350375512032, -72.98858186439828 -6.367954442461906, -72.9849 -6.35094, -71.32980000000001 -6.59137, -71.34579821718764 -6.666595733173287, -71.6534 -8.11298, -71.65345995297074 -8.112971291186559))",AM,13,73.64,69.88,59.89,65.17,63.26,55.1,37.04,28.12,33.76,55.36,71.87,78.4,7,6,5,6,6,5,3,2,3,5,7,7,74.21,7,62.86,6,40.64,4,53.08,5,16.67,20.0,18.18,16.67,16.67,30.77,42.86,45.45,41.67,27.27,9.09,8.33
5,66,"POLYGON ((-71.94604325020484 -9.483913717767592, -71.95759463640188 -9.538039450757342, -71.96210000000001 -9.559150000000001, -71.96211686875465 -9.559147549592497, -73.6288 -9.31704, -73.61641001152702 -9.26014259838902, -73.30200955575347 -7.816350375512032, -73.29770000000001 -7.79656, -71.6374 -8.03772, -71.65345995297074 -8.112971291186559, -71.94604325020484 -9.483913717767592))",AC,12,88.65,65.84,87.89,74.27,64.16,56.08,31.74,18.57,25.69,58.4,71.65,63.19,8,6,8,7,6,5,3,1,2,5,7,6,72.69,7,74.78,7,36.25,3,51.14,5,0.0,22.22,0.0,8.33,15.38,15.38,57.14,81.82,75.0,9.09,9.09,16.67
